"Date";"Parameter";"value"
2011-01-01;"pressure_air";1005.8234547777
2011-02-01;"pressure_air";1007.63075441919
2011-03-01;"pressure_air";1010.51467741935
2011-04-01;"pressure_air";1006.92509259259
2011-05-01;"pressure_air";1007.61326164875
2011-06-01;"pressure_air";1004.53979166667
2011-07-01;"pressure_air";998.143503584229
2011-08-01;"pressure_air";1000.67005469853
2011-09-01;"pressure_air";1003.3156712963
2011-10-01;"pressure_air";1005.55114247312
2011-11-01;"pressure_air";1007.39009615385
2011-12-01;"pressure_air";995.556304403482
2012-01-01;"pressure_air";1002.03319892473
2012-02-01;"pressure_air";1010.40453390313
2012-03-01;"pressure_air";1010.29833124621
2012-04-01;"pressure_air";991.501271893815
2012-05-01;"pressure_air";1001.59038914491
2012-06-01;"pressure_air";999.224027777778
2012-07-01;"pressure_air";999.184801923487
2012-08-01;"pressure_air";1002.73198305255
2012-09-01;"pressure_air";1000.46171130952
2012-10-01;"pressure_air";997.667226702509
2012-11-01;"pressure_air";997.139790232711
2012-12-01;"pressure_air";995.041651157982
2013-01-01;"pressure_air";997.281877240143
2013-02-01;"pressure_air";998.595492103441
2013-03-01;"pressure_air";995.107158068783
2013-04-01;"pressure_air";999.853611111111
2013-05-01;"pressure_air";994.718915210573
2013-06-01;"pressure_air";1001.70689997263
2013-07-01;"pressure_air";1009.78485663082
2013-08-01;"pressure_air";1008.25629480287
2013-09-01;"pressure_air";1004.71430555556
2013-10-01;"pressure_air";1005.59848469183
2013-11-01;"pressure_air";1003.13381771538
2013-12-01;"pressure_air";1007.68114769071
2014-01-01;"pressure_air";998.683602150538
2014-02-01;"pressure_air";997.227802579365
2014-03-01;"pressure_air";1005.07688172043
2014-04-01;"pressure_air";1003.02395833333
2014-05-01;"pressure_air";1003.84688620072
2014-06-01;"pressure_air";1005.51418981481
2014-07-01;"pressure_air";1002.38322000843
2014-08-01;"pressure_air";1001.17264156527
2014-09-01;"pressure_air";1005.84716931217
2014-10-01;"pressure_air";1004.45172822156
2014-11-01;"pressure_air";1001.16446857068
2014-12-01;"pressure_air";1003.33323398784
2015-01-01;"pressure_air";999.751237224932
2015-02-01;"pressure_air";1002.7498525311
2015-03-01;"pressure_air";1005.68293586416
2015-04-01;"pressure_air";1005.90231481481
2015-05-01;"pressure_air";1002.73030913978
2015-06-01;"pressure_air";1006.60506944444
2015-07-01;"pressure_air";1004.70730286738
2015-08-01;"pressure_air";1006.02880761811
2015-09-01;"pressure_air";1006.65829228243
2015-10-01;"pressure_air";1007.77632168459
2015-11-01;"pressure_air";1003.64365740741
2015-12-01;"pressure_air";1012.7269587347
2016-01-01;"pressure_air";1000.04549731183
2016-02-01;"pressure_air";997.523826628352
